date,transactions,revenue,black Friday
1/13/2022,319,109032.51,0
1/14/2022,277,94467.95,0
1/15/2022,304,105597.81,0
1/16/2022,428,153195.74,0
1/17/2022,356,120467.41,0
1/18/2022,181,64473.59,0
1/19/2022,209,76291.69,0
1/20/2022,184,60931.27,0
1/21/2022,236,83554.39,0
1/22/2022,277,94869.61,0
1/23/2022,307,111015.19,0
1/24/2022,276,92193.27,0
1/25/2022,180,60206.14,0
1/26/2022,195,63243.43,0
1/27/2022,218,69156.42,0
1/28/2022,215,74417.33,0
1/29/2022,227,73602.6,0
1/30/2022,328,113588.73,0
1/31/2022,273,93474.57,0
2/1/2022,223,76257.06,0
2/2/2022,280,101849.69,0
2/3/2022,266,89832.85,0
2/4/2022,250,81323.47,0
2/5/2022,261,90968.93,0
2/6/2022,339,114126.59,0
2/7/2022,312,109889.56,0
2/8/2022,269,93148.47,0
2/9/2022,280,96771.5,0
2/10/2022,222,77819.05,0
2/11/2022,231,83175.73,0
2/12/2022,277,93993.37,0
2/13/2022,335,109040.46,0
2/14/2022,308,99061.87,0
2/15/2022,289,100709.42,0
2/16/2022,301,98450.63,0
2/17/2022,230,77793.08,0
2/18/2022,219,77131.33,0
2/19/2022,226,70612.3,0
2/20/2022,277,94836.95,0
2/21/2022,315,100217.5,0
2/22/2022,201,63533.53,0
2/23/2022,208,71097.4,0
2/24/2022,241,79571.51,0
2/25/2022,253,81393.97,0
2/26/2022,295,100151.11,0
2/27/2022,380,125912.42,0
2/28/2022,336,117305.35,0
3/1/2022,371,125326.68,0
3/2/2022,377,135524.44,0
3/3/2022,310,109547.44,0
3/4/2022,351,118202.48,0
3/5/2022,325,108969.33,0
3/6/2022,449,151276.62,0
3/7/2022,364,116887.47,0
3/8/2022,305,108313.19,0
3/9/2022,343,121062.6,0
3/10/2022,301,101325.54,0
3/11/2022,251,84893.89,0
3/12/2022,296,98299.63,0
3/13/2022,432,145732.46,0
3/14/2022,319,105831.31,0
3/15/2022,269,90144.24,0
3/16/2022,296,97466.71,0
3/17/2022,241,75676.69,0
3/18/2022,213,70870.03,0
3/19/2022,242,82118.55,0
3/20/2022,313,104500.43,0
3/21/2022,260,85576.7,0
3/22/2022,226,79357.75,0
3/23/2022,218,82603.4,0
3/24/2022,199,68947.46,0
3/25/2022,212,71026.06,0
3/26/2022,222,77195.22,0
3/27/2022,246,82670.77,0
3/28/2022,271,88983.46,0
3/29/2022,356,112669.61,0
3/30/2022,435,141414.58,0
3/31/2022,362,121766.38,0
4/1/2022,454,153136.64,0
4/2/2022,441,144167.05,0
4/3/2022,515,168242.04,0
4/4/2022,361,122158.73,0
4/5/2022,350,116089.99,0
4/6/2022,386,130801.1,0
4/7/2022,296,96829.01,0
4/8/2022,286,98484.35,0
4/9/2022,367,116235.87,0
