date,google,meta
3/30/2022,5826.35,761.14
3/31/2022,5663.69,803.87
4/1/2022,6182.01,820.92
4/2/2022,8889.18,866.44
4/3/2022,10478.39,965.16
4/4/2022,8837.39,951.72
4/5/2022,9472.66,936.687186
4/6/2022,10686.33,969.34
4/7/2022,8339.56,1022.42
4/8/2022,8789.81,1051.75
4/9/2022,9917.68,1145.96
4/10/2022,10989.55,1263.61
4/11/2022,8747.82,1169.46446
4/12/2022,9223.42,1265.19
4/13/2022,8944.26,1222.87553
4/14/2022,7368.92,1220.6874
4/15/2022,6593.76,1172.32
4/16/2022,7405.51,1297.94
4/17/2022,8040.63,1360.67
4/18/2022,9383.63,1271.9
4/19/2022,7934.48,1195.21
4/20/2022,7008.39,1185.23
4/21/2022,6987.58,1100.43
4/22/2022,5914.16,1051.07266
4/23/2022,6910.92,1093.14
4/24/2022,6728.05,1187.22
4/25/2022,6869.99,1123.12733
4/26/2022,6620.38,1107.95262
4/27/2022,6576.47,1098.75
4/28/2022,5911.55,946.01
4/29/2022,6154.16,933.93
4/30/2022,5845.22,990.24
5/1/2022,7660.15,1090.37
5/2/2022,10046.98,1015.65
5/3/2022,5146.68,987.28
5/4/2022,7706.53,1110.47
5/5/2022,5572.09,1133.75
5/6/2022,6108.69,1159.01
5/7/2022,6171.39,1225.39647
5/8/2022,7231.36,1317.64
5/9/2022,6227.33,1211.68
5/10/2022,5648.73,1271.88
5/11/2022,6144.73,1132.90081
5/12/2022,5800.57,1180.82
5/13/2022,5285.29,1211.57672
5/14/2022,5844.38,1304.02
5/15/2022,6953.82,1544.53
5/16/2022,6704.57,1745.07283
5/17/2022,5433.56,1676.79717
5/18/2022,5581.49,1365.92425
5/19/2022,4856.4,1354.11719
5/20/2022,4548.23,1294.36
5/21/2022,4342.34,1388.39
5/22/2022,5785.88,1446.2
5/23/2022,6164.36,1362.46
5/24/2022,5662.12,1306.39
5/25/2022,5578.53,1499.09675
5/26/2022,6264.58,1434.54
